feature_set,auroc_oof,ci_lo,ci_hi
ALL_v1,0.7717,0.708545,0.8308724999999999
legacy51,0.7555000000000001,0.6953100000000001,0.8125637500000001
rich608,0.7672,0.7041562499999999,0.827
metadata_only,0.9708,0.9471987500000002,0.9892524999999999
