,aigc_256,aigc_257-599,aigc_600+,rr_real
aigc_256,0.744578313253012,0.12048192771084337,0.012048192771084338,0.12289156626506025
aigc_257-599,0.09714285714285714,0.6247619047619047,0.04,0.23809523809523808
aigc_600+,0.06666666666666667,0.25,0.45,0.23333333333333334
rr_real,0.084,0.264,0.056,0.596
