generator,feature_set,auroc,logloss,brier,metric,delta_mean,delta_ci_lo,delta_ci_hi
sdxl,VAE,0.855,0.5044086550637022,0.16398237872062932,,,,
sdxl,VAE+curvature,0.8538888888888889,0.5015511055782654,0.16309842145699757,,,,
sdxl,VAE+path_length,0.9172222222222222,0.4327877378482958,0.13265495049652662,,,,
sdxl,VAE+curvature+path_length,0.9161111111111111,0.4260547977919211,0.1307084688538357,,,,
sdxl,VAE+score,0.8547222222222223,0.5025725914873074,0.1641529957973654,,,,
sdxl,VAE+score+curvature,0.861388888888889,0.4953898129837672,0.16050601017705618,,,,
sdxl,VAE+score+path_length,0.9083333333333332,0.43105358897984397,0.13396356177670643,,,,
sdxl,VAE+score+curvature+path_length,0.9088888888888889,0.4281826560979049,0.13281859140454402,,,,
sdxl,Δ(VAE+curvature - VAE),,,,auroc,-0.0011361111111111157,-0.02138888888888879,0.018055555555555602
sdxl,Δ(VAE+curvature - VAE),,,,logloss,-0.0030071265811460364,-0.0201868570486519,0.013971078236791626
sdxl,Δ(VAE+curvature - VAE),,,,brier,-0.000953441369954537,-0.008300973984769013,0.006593506660965505
sdxl,Δ(VAE+path_length - VAE),,,,auroc,0.06111194444444445,0.025548611111111216,0.09918749999999994
sdxl,Δ(VAE+path_length - VAE),,,,logloss,-0.07116251579012306,-0.10197554264462284,-0.04325704501494087
sdxl,Δ(VAE+path_length - VAE),,,,brier,-0.031098578497490908,-0.04535235170425634,-0.017720490127483095
sdxl,Δ(VAE+curvature+path_length - VAE),,,,auroc,0.05969472222222222,0.020000000000000014,0.10138888888888886
sdxl,Δ(VAE+curvature+path_length - VAE),,,,logloss,-0.07803146806034028,-0.11465964215175826,-0.0428829910978381
sdxl,Δ(VAE+curvature+path_length - VAE),,,,brier,-0.03310787047156458,-0.04965272207554621,-0.01689332959427775
sdxl,Δ(VAE+score+curvature - VAE+score),,,,auroc,0.006384999999999998,-0.01305555555555549,0.025555555555555665
sdxl,Δ(VAE+score+curvature - VAE+score),,,,logloss,-0.007144491588657591,-0.02073614576388815,0.007225309307681108
sdxl,Δ(VAE+score+curvature - VAE+score),,,,brier,-0.003626265132756564,-0.009230558562903265,0.00270794067688488
sdxl,Δ(VAE+score+path_length - VAE+score),,,,auroc,0.05228999999999999,0.019159722222222224,0.08946527777777775
sdxl,Δ(VAE+score+path_length - VAE+score),,,,logloss,-0.07129496039554936,-0.10147637699090564,-0.04321636875616284
sdxl,Δ(VAE+score+path_length - VAE+score),,,,brier,-0.030060116827339146,-0.043995527850577455,-0.016612214055446304
sdxl,Δ(VAE+score+curvature+path_length - VAE+score),,,,auroc,0.05259916666666666,0.015826388888888814,0.09166666666666667
sdxl,Δ(VAE+score+curvature+path_length - VAE+score),,,,logloss,-0.07410782379328097,-0.10799334736994945,-0.040806996047139416
sdxl,Δ(VAE+score+curvature+path_length - VAE+score),,,,brier,-0.03118148169063119,-0.046582612178289025,-0.015528138335178038
pixart_dit,VAE,0.8802777777777778,0.5072394888224961,0.1633650751654038,,,,
pixart_dit,VAE+curvature,0.8586111111111111,0.5064659242087998,0.16417725085981225,,,,
pixart_dit,VAE+path_length,0.8683333333333334,0.5118196676442703,0.1653968988990975,,,,
pixart_dit,VAE+curvature+path_length,0.8547222222222222,0.51090792897759,0.16614784213118192,,,,
pixart_dit,VAE+score,0.8963888888888889,0.4924881725054159,0.1573820364510997,,,,
pixart_dit,VAE+score+curvature,0.8994444444444444,0.47485507024661955,0.1501618289011735,,,,
pixart_dit,VAE+score+path_length,0.8872222222222222,0.49482319800276525,0.15845399667763885,,,,
pixart_dit,VAE+score+curvature+path_length,0.8913888888888889,0.47480224169934193,0.1503278325758665,,,,
pixart_dit,Δ(VAE+curvature - VAE),,,,auroc,-0.02109694444444444,-0.04194444444444435,-0.003611111111111229
pixart_dit,Δ(VAE+curvature - VAE),,,,logloss,-0.0007598573006295464,-0.013605156439322693,0.013710342235024951
pixart_dit,Δ(VAE+curvature - VAE),,,,brier,0.000814076899200422,-0.0050422337339009115,0.007797924648470641
pixart_dit,Δ(VAE+path_length - VAE),,,,auroc,-0.011643888888888886,-0.02138888888888879,-0.0038888888888888307
pixart_dit,Δ(VAE+path_length - VAE),,,,logloss,0.004604600383327387,0.0009273389152852668,0.008677111716891934
pixart_dit,Δ(VAE+path_length - VAE),,,,brier,0.002037863094894999,0.00043753218059072523,0.0038116665440281914
pixart_dit,Δ(VAE+curvature+path_length - VAE),,,,auroc,-0.024987777777777772,-0.0475000000000001,-0.00694444444444442
pixart_dit,Δ(VAE+curvature+path_length - VAE),,,,logloss,0.003700304803771311,-0.009193734203361715,0.01859755684721836
pixart_dit,Δ(VAE+curvature+path_length - VAE),,,,brier,0.0027894254506072363,-0.003394119575055688,0.009797482692502166
pixart_dit,Δ(VAE+score+curvature - VAE+score),,,,auroc,0.003281944444444451,-0.02473611111111109,0.030284722222222286
pixart_dit,Δ(VAE+score+curvature - VAE+score),,,,logloss,-0.01769001117608142,-0.03579435696183452,0.003667435749974222
pixart_dit,Δ(VAE+score+curvature - VAE+score),,,,brier,-0.007255641900941758,-0.015662654780538524,0.0028958394119585834
pixart_dit,Δ(VAE+score+path_length - VAE+score),,,,auroc,-0.009323611111111116,-0.023902777777777846,0.0027847222222220987
pixart_dit,Δ(VAE+score+path_length - VAE+score),,,,logloss,0.002387709247080552,-0.004693904095425913,0.010144458912789225
pixart_dit,Δ(VAE+score+path_length - VAE+score),,,,brier,0.0010891316333092415,-0.0021033803691151236,0.004423654631951674
pixart_dit,Δ(VAE+score+curvature+path_length - VAE+score),,,,auroc,-0.004920833333333331,-0.029173611111111115,0.01777777777777778
pixart_dit,Δ(VAE+score+curvature+path_length - VAE+score),,,,logloss,-0.017684730500805244,-0.03554218911198936,0.0023417900815849396
pixart_dit,Δ(VAE+score+curvature+path_length - VAE+score),,,,brier,-0.007066617234347614,-0.015165511072746878,0.0021137761619075325
