generator,content_id,label,path_length_observed,path_length_predicted_from_vae,path_length_residual_vs_vae
sd15,coco2014_COCO_val2014_000000313399,0,0.7832952504615739,0.6803824007446094,0.10291284971696446
sd15,coco2014_COCO_val2014_000000313399,1,0.7413143620907878,0.6882190526880606,0.05309530940272722
sd15,coco2014_COCO_val2014_000000396676,0,0.5626144992785118,0.622760246178303,-0.06014574689979113
sd15,coco2014_COCO_val2014_000000396676,1,0.5607552340434789,0.6271126705256745,-0.06635743648219561
sd15,coco2014_COCO_val2014_000000068005,0,0.7006578101638927,0.6524233998850113,0.04823441027888142
sd15,coco2014_COCO_val2014_000000068005,1,0.6172689602144331,0.6172241338321831,4.4826382250007235e-05
sd15,coco2014_COCO_val2014_000000025138,0,0.6097388197404313,0.6493416006669065,-0.03960278092647518
sd15,coco2014_COCO_val2014_000000025138,1,0.6369406864600915,0.6961847277156652,-0.0592440412555737
sd15,coco2014_COCO_val2014_000000087581,0,0.5989584766177456,0.6304434620051417,-0.03148498538739608
sd15,coco2014_COCO_val2014_000000087581,1,0.5948861285448875,0.5671273686538424,0.02775875989104515
sd15,coco2014_COCO_val2014_000000523517,0,0.5946628866969766,0.618592443980153,-0.02392955728317636
sd15,coco2014_COCO_val2014_000000523517,1,0.615508999875656,0.6343693486929864,-0.018860348817330452
sd15,coco2014_COCO_val2014_000000107839,0,0.8690237781915927,0.6819210247732617,0.18710275341833105
sd15,coco2014_COCO_val2014_000000107839,1,0.597264277369026,0.6536326997614027,-0.056368422392376716
sd15,coco2014_COCO_val2014_000000125997,0,0.6709812824496445,0.6697173488100937,0.001263933639550796
sd15,coco2014_COCO_val2014_000000125997,1,0.6204108361817597,0.6397572901615051,-0.019346453979745326
sd15,coco2014_COCO_val2014_000000304964,0,0.6227175803734228,0.6586779544645098,-0.03596037409108699
sd15,coco2014_COCO_val2014_000000304964,1,0.6155506178112257,0.6781857501115083,-0.06263513230028261
sd15,coco2014_COCO_val2014_000000474465,0,0.5847021985301841,0.6118274799588839,-0.027125281428699743
sd15,coco2014_COCO_val2014_000000474465,1,0.6295496155987983,0.6784641629751071,-0.04891454737630885
sd15,coco2014_COCO_val2014_000000214363,0,0.5279173100020635,0.6426723437955244,-0.11475503379346086
sd15,coco2014_COCO_val2014_000000214363,1,0.6003886718606817,0.6579650180061084,-0.05757634614542673
sd15,coco2014_COCO_val2014_000000207239,0,0.6684098104258578,0.672546500276523,-0.004136689850665176
sd15,coco2014_COCO_val2014_000000207239,1,0.709946717921777,0.7055569390033468,0.004389778918430176
sd15,coco2014_COCO_val2014_000000552979,0,0.8644167247671953,0.621906007641279,0.24251071712591632
sd15,coco2014_COCO_val2014_000000552979,1,0.6470217820717953,0.6102381635642419,0.036783618507553406
sd15,coco2014_COCO_val2014_000000482242,0,0.5785316928604066,0.6392689012645283,-0.06073720840412167
