generator,variant,paired_cohens_d,d_ci_lo,d_ci_hi,univariate_auroc_direction_free,frac_matched_established_direction,effect_retention_vs_raw
sd15,raw,-0.3325134827817648,-0.5506713318455069,-0.11118100999456006,0.5772222222222222,0.5833333333333334,1.0
sd15,vae_residualized,-0.5759384839731749,-0.7987336292572847,-0.3689375025233343,0.6713888888888888,0.7333333333333333,1.732075581276332
sdxl,raw,-0.3575780031364763,-0.6065867992514908,-0.10466458251538834,0.5702777777777778,0.6,1.0
sdxl,vae_residualized,-0.6632240355772439,-0.922574555034554,-0.4247327329291777,0.7044444444444444,0.65,1.8547674346798602
pixart_dit,raw,0.3803828168589687,0.15476968557012383,0.6736803847766231,0.6597222222222222,0.6166666666666667,1.0
pixart_dit,vae_residualized,-0.16984669170814248,-0.426413352015574,0.08769342697264335,0.5361111111111111,0.4666666666666667,0.44651515310342893
amused,raw,1.3903964977439989,1.1439370396629385,1.7933697163180156,0.8983333333333333,0.9,1.0
amused,vae_residualized,0.0737894529492002,-0.1615745105742217,0.32393399522827926,0.5619444444444444,0.55,0.053070798918779576
