generator,paired_cohens_d,d_ci_lo,d_ci_hi,univariate_auroc_direction_free,frac_pairs_matched_sign
sd15,-0.3325134827817648,-0.5506713318455069,-0.11118100999456006,0.5772222222222222,0.5833333333333334
sdxl,-0.3575780031364763,-0.6065867992514908,-0.10466458251538834,0.5702777777777778,0.6
pixart_dit,0.3803828168589687,0.15476968557012383,0.6736803847766231,0.6597222222222222,0.6166666666666667
amused,1.3903964977439989,1.1439370396629385,1.7933697163180156,0.8983333333333333,0.9
