held_real,held_generator,auroc
aigc_benchmark_real,ADM,0.5680000000000001
aigc_benchmark_real,BigGAN,0.607
aigc_benchmark_real,DALLE2,0.45799999999999996
aigc_benchmark_real,GLIDE,0.582
aigc_benchmark_real,Midjourney,0.5144
aigc_benchmark_real,SD14,0.6774
aigc_benchmark_real,SD15,0.5186000000000001
aigc_benchmark_real,SDXL,0.26460000000000006
aigc_benchmark_real,VQDM,0.26539999999999997
aigc_benchmark_real,Wukong,0.4934
rrdataset_real,ADM,0.6564000000000001
rrdataset_real,BigGAN,0.4104
rrdataset_real,DALLE2,0.39679999999999993
rrdataset_real,GLIDE,0.8575999999999999
rrdataset_real,Midjourney,0.6204000000000001
rrdataset_real,SD14,0.7048
rrdataset_real,SD15,0.6844
rrdataset_real,SDXL,0.4252
rrdataset_real,VQDM,0.6828000000000001
rrdataset_real,Wukong,0.608
