held_generator,representation,model,n_features,inner_auroc,selected_c,selected_pca,auroc,auprc,balanced_accuracy,tpr_at_1pct_fpr,tpr_at_5pct_fpr,auroc_ci95
SD14,noise_magnitude,family_logistic,18,,1.0,,0.6864,0.7015598181284589,0.6799999999999999,0.64,0.64,"[0.5415710547504026, 0.8368621428571429]"
SDXL,noise_magnitude,family_logistic,18,,0.01,,0.44799999999999995,0.46434308691993503,0.46,0.24,0.24,"[0.2969561688311688, 0.6141931523935834]"
VQDM,noise_magnitude,family_logistic,18,,100.0,,0.7616,0.8003220968957838,0.72,0.76,0.76,"[0.6005719295800818, 0.8912008441558441]"
ADM,score_dynamics,family_logistic,99,,0.01,,0.6688,0.6257714086070754,0.64,0.8,0.8,"[0.5232257004830918, 0.811216812228806]"
BigGAN,score_dynamics,family_logistic,99,,0.1,,0.4032,0.5386345063549769,0.45999999999999996,0.44,0.44,"[0.2351533333333333, 0.5722291666666667]"
DALLE2,score_dynamics,family_logistic,99,,0.01,,0.3408,0.4532718723012412,0.38,0.24,0.24,"[0.18106249999999996, 0.5009402564102563]"
GLIDE,score_dynamics,family_logistic,99,,0.01,,0.8272,0.8575184924580321,0.78,0.76,0.76,"[0.713128591954023, 0.9287443030984036]"
Midjourney,score_dynamics,family_logistic,99,,0.01,,0.7424000000000001,0.7414629979700799,0.5800000000000001,0.52,0.52,"[0.5955882659007659, 0.8653538272072754]"
SD14,score_dynamics,family_logistic,99,,0.01,,0.7919999999999999,0.7465038189261048,0.76,0.76,0.76,"[0.6343190338164252, 0.9292378743961353]"
SDXL,score_dynamics,family_logistic,99,,0.01,,0.5167999999999999,0.5798409032483886,0.56,0.36,0.36,"[0.3428725369458128, 0.6813179347826085]"
VQDM,score_dynamics,family_logistic,99,,0.01,,0.7776,0.8296834032648515,0.66,0.76,0.76,"[0.6183035714285715, 0.8961038961038962]"
ADM,latent_geometry,family_logistic,75,,0.01,,0.5552,0.5470245710110353,0.52,0.48,0.48,"[0.3912973801560758, 0.6995115875503807]"
BigGAN,latent_geometry,family_logistic,75,,10.0,,0.46240000000000003,0.49436181762908676,0.5,0.36,0.36,"[0.308243252927039, 0.6362813013136288]"
DALLE2,latent_geometry,family_logistic,75,,0.01,,0.35040000000000004,0.46050144816049426,0.4,0.28,0.28,"[0.19665451388888888, 0.503306486186921]"
GLIDE,latent_geometry,family_logistic,75,,100.0,,0.8463999999999999,0.8923381492928013,0.8400000000000001,0.8,0.8,"[0.7132814009661836, 0.9444645732689211]"
Midjourney,latent_geometry,family_logistic,75,,0.01,,0.6224000000000001,0.6103182610356428,0.6000000000000001,0.52,0.52,"[0.45488419117647055, 0.7612179487179487]"
SD14,latent_geometry,family_logistic,75,,0.01,,0.7295999999999999,0.6605427980848543,0.6000000000000001,0.4,0.4,"[0.5816355519480519, 0.8666748768472907]"
SDXL,latent_geometry,family_logistic,75,,0.01,,0.4528,0.5080296994628941,0.5,0.32,0.32,"[0.2900641025641026, 0.6181214080459769]"
VQDM,latent_geometry,family_logistic,75,,10.0,,0.6224000000000001,0.6879919790901338,0.5800000000000001,0.64,0.64,"[0.455235347985348, 0.7629944632662023]"
ADM,alignment,family_logistic,75,,1.0,,0.6144,0.5604994299061727,0.6200000000000001,0.56,0.56,"[0.44659277504105094, 0.7568329220779221]"
BigGAN,alignment,family_logistic,75,,1.0,,0.3808,0.4513305789148366,0.44,0.4,0.4,"[0.22216666666666665, 0.5413043478260867]"
DALLE2,alignment,family_logistic,75,,1.0,,0.4048,0.5030079780974936,0.44,0.24,0.24,"[0.2481475, 0.5758546051649498]"
GLIDE,alignment,family_logistic,75,,10.0,,0.7135999999999999,0.7641970262132771,0.62,0.64,0.64,"[0.5566716666666667, 0.8528549999999999]"
Midjourney,alignment,family_logistic,75,,100.0,,0.5648000000000001,0.5259967656350011,0.52,0.56,0.56,"[0.38497499999999996, 0.735943932795507]"
SD14,alignment,family_logistic,75,,100.0,,0.536,0.5774256811971472,0.5,0.44,0.44,"[0.36497426470588235, 0.686494252873563]"
SDXL,alignment,family_logistic,75,,100.0,,0.2064,0.36846205467375726,0.4,0.12,0.12,"[0.10256000000000003, 0.34141639610389607]"
VQDM,alignment,family_logistic,75,,100.0,,0.4976,0.5616501026604435,0.48,0.36,0.36,"[0.3377980169340464, 0.6619039686505953]"
ADM,conditional_geometry,family_logistic,45,,0.1,,0.5072,0.5086151188714217,0.5,0.56,0.56,"[0.3316262315270936, 0.671593261810653]"
BigGAN,conditional_geometry,family_logistic,45,,0.1,,0.6192,0.6090888971101174,0.52,0.48,0.48,"[0.43392587560386475, 0.7681561996779387]"
DALLE2,conditional_geometry,family_logistic,45,,0.1,,0.6128,0.6088576684702792,0.64,0.68,0.68,"[0.44918429822521894, 0.7622095352564102]"
GLIDE,conditional_geometry,family_logistic,45,,10.0,,0.5456,0.5552531756931267,0.54,0.6,0.6,"[0.3807767532467532, 0.7118333333333332]"
Midjourney,conditional_geometry,family_logistic,45,,1.0,,0.6144000000000001,0.6581669544767292,0.52,0.72,0.72,"[0.4350633116883117, 0.7665137669260608]"
SD14,conditional_geometry,family_logistic,45,,0.1,,0.6432000000000001,0.6070091268689048,0.6,0.76,0.76,"[0.47108977079796266, 0.7964743589743589]"
SDXL,conditional_geometry,family_logistic,45,,100.0,,0.34559999999999996,0.4113131817216992,0.44000000000000006,0.32,0.32,"[0.20192939244663385, 0.5049567099567099]"
VQDM,conditional_geometry,family_logistic,45,,100.0,,0.49760000000000004,0.4772255288734983,0.48,0.44,0.44,"[0.3327414865482565, 0.6650771103896105]"
ADM,spatial_score,family_logistic,30,,0.01,,0.7552,0.7948764248569068,0.6799999999999999,0.64,0.64,"[0.6115923913043478, 0.881607619047619]"
BigGAN,spatial_score,family_logistic,30,,0.1,,0.5808,0.6451584752976007,0.56,0.28,0.28,"[0.43316030286138973, 0.7225424718959201]"
DALLE2,spatial_score,family_logistic,30,,0.01,,0.39039999999999997,0.4861386933229984,0.38,0.36,0.36,"[0.23154379203372172, 0.5417738970588234]"
GLIDE,spatial_score,family_logistic,30,,0.01,,0.872,0.8457953493874547,0.76,0.88,0.88,"[0.7743449532923217, 0.9660516928953898]"
Midjourney,spatial_score,family_logistic,30,,0.01,,0.7184,0.6919901413170946,0.66,0.52,0.52,"[0.5553333333333333, 0.8669099117468682]"
SD14,spatial_score,family_logistic,30,,0.01,,0.5104000000000001,0.5601445006545668,0.58,0.44,0.44,"[0.32247612903225814, 0.6893140096618356]"
SDXL,spatial_score,family_logistic,30,,0.01,,0.8256000000000001,0.8348809261214694,0.7,0.56,0.56,"[0.711152376910017, 0.9287585270122034]"
VQDM,spatial_score,family_logistic,30,,0.01,,0.7216,0.7496438099304406,0.6,0.6,0.6,"[0.5634992800074321, 0.8734442780748662]"
ADM,frequency_score,family_logistic,36,,100.0,,0.5167999999999999,0.5350168349577271,0.5,0.44,0.44,"[0.36687770562770566, 0.6542715097402596]"
BigGAN,frequency_score,family_logistic,36,,0.1,,0.48,0.5343746483880025,0.52,0.32,0.32,"[0.3470948792270531, 0.6393317230273751]"
DALLE2,frequency_score,family_logistic,36,,0.01,,0.3216,0.4453397881221089,0.42000000000000004,0.2,0.2,"[0.18330483272386922, 0.48405330882352937]"
GLIDE,frequency_score,family_logistic,36,,0.1,,0.7103999999999999,0.7730161414629528,0.62,0.64,0.64,"[0.5528771167557932, 0.8373666792145052]"
Midjourney,frequency_score,family_logistic,36,,0.1,,0.5024,0.5011957495687521,0.54,0.4,0.4,"[0.33926190476190476, 0.6699554426655719]"
SD14,frequency_score,family_logistic,36,,0.1,,0.48160000000000003,0.5036076037888423,0.5,0.4,0.4,"[0.3252747584541063, 0.6624245648604269]"
SDXL,frequency_score,family_logistic,36,,0.01,,0.5888,0.5676877918736374,0.54,0.44,0.44,"[0.4217846422989486, 0.7410299999999999]"
