generator,tensor,pc,feature,spearman_r,spearman_p
amused,cond,1,rich_latent_accel_late,-0.2393998332870242,0.06543659592299556
amused,cond,1,rich_latent_accel_t4,-0.2393998332870242,0.06543659592299556
amused,dz,2,rich_latent_t0_skew,0.40705751597666023,0.0012477266068975298
amused,dz,2,rich_latent_t1_skew,0.40705751597666023,0.0012477266068975298
amused,z,2,rich_latent_t2_skew,-0.4365101417060296,0.0004889862961644383
amused,z,2,rich_latent_t3_skew,-0.4849680466796333,8.601659843035354e-05
amused,guidance,4,rich_score_relchange_middle,0.19555432064462352,0.13429137216409676
amused,z,4,rich_score_relchange_t2,0.26068352320088917,0.04425174526703901
amused,guidance,1,rich_score_relchange_t3,-0.21883856626840792,0.09297922314652599
amused,guidance,2,rich_score_t1_channel_pr,-0.41239233120311203,0.001059564804230957
amused,guidance,2,rich_score_t1_channel_ratio,0.36732425673798286,0.0038881484080125995
amused,guidance,3,rich_score_t1_fft_centroid,0.17171436510141708,0.18955983086040012
amused,uncond,1,rich_score_t1_fft_high,0.20361211447624344,0.11866755358990379
amused,uncond,1,rich_score_t1_fft_high_low,0.21172547929980554,0.10437821747314874
amused,uncond,1,rich_score_t1_fft_low,-0.2076132258960823,0.11144468996240235
amused,guidance,5,rich_score_t1_v_autocorr,-0.20327868852459022,0.11928522300005068
amused,z,2,rich_score_t2_fft_centroid,-0.2311197554876355,0.07561308868854447
amused,guidance,3,rich_score_t2_fft_high,0.23195332036676858,0.07453489244997841
amused,uncond,1,rich_score_t2_fft_high_low,0.23473186996387888,0.07102899159255896
amused,z,1,rich_score_t2_fft_low,-0.2825229230341762,0.028731781111646912
amused,cond,2,rich_score_t2_v_autocorr,0.21155876632397896,0.1046577866770521
amused,z,2,rich_score_t3_fft_centroid,-0.2475687691025285,0.05650454055768079
amused,guidance,3,rich_score_t3_fft_high,0.26062795220894697,0.044298630953319394
amused,dz,1,rich_score_t3_fft_high_low,0.2764656849124757,0.03249121743186535
amused,dz,1,rich_score_t3_fft_low,-0.31969991664351216,0.012773656182080907
amused,cond,2,rich_score_t3_v_autocorr,0.24251180883578774,0.0619088514878186
amused,dz,1,rich_score_t4_fft_high_low,0.3990552931369825,0.0015865414080025624
amused,cond,2,rich_score_t4_v_autocorr,0.22211725479299807,0.08806407864450905
amused,z,1,rich_score_t5_q25,-0.3539316476799112,0.005532247361885227
amused,z,2,rich_score_t5_v_autocorr,0.2264517921644902,0.08188196370211243
sd15,cond,5,latent_roundtrip_mse,0.43428730202834126,0.0005263771799060482
sd15,dz,3,path_length,0.36726868574604066,0.0038939613094179136
sd15,dz,2,rich_guidance_dz_orthfrac_t2,-0.3210336204501251,0.01238462058793586
sd15,guidance,4,rich_guidance_dz_orthfrac_t4,-0.37749374826340654,0.002945164477292707
sd15,dz,4,rich_guidance_t0_skew,-0.30741872742428455,0.016878778233265564
sd15,dz,2,rich_guidance_t1_kurtosis,-0.3534870797443735,0.005595987672386377
sd15,guidance,2,rich_guidance_t1_maxabs,0.282467352042234,0.02876453678077754
sd15,dz,5,rich_guidance_t1_median,-0.3390142088535075,0.008055839560178857
sd15,z,1,rich_guidance_t2_median,-0.22230253057081945,0.08779254054467707
sd15,guidance,1,rich_guidance_t3_median,-0.23234808552965408,0.07402855934508056
sd15,guidance,3,rich_guidance_t3_skew,-0.2826340650180606,0.02866636359697993
sd15,guidance,5,rich_guidance_t4_mean,-0.25412614615170886,0.0500728749823037
sd15,z,5,rich_guidance_t4_skew,-0.2940816893581551,0.02256523445373864
sd15,dz,2,rich_guidance_t5_mean,-0.28368991386496256,0.02805110338164077
sd15,dz,5,rich_guidance_t5_median,0.28643301755987943,0.026504251470546362
sd15,dz,3,rich_latent_step_auc,0.34648513475965553,0.0066884970313202605
sd15,dz,3,rich_latent_step_late,0.39038621839399845,0.0020446500755096097
sd15,dz,3,rich_latent_step_mean,0.36726868574604066,0.0038939613094179136
sd15,dz,3,rich_latent_step_slope,0.38449569324812455,0.002420001772805449
sd15,dz,3,rich_latent_step_t3,0.3564879133092526,0.005177973756085476
sd15,dz,3,rich_latent_step_t4,0.3954431786607392,0.0017648667392724422
sd15,dz,3,rich_latent_step_t5,0.38427340928035575,0.0024352966479887755
sd15,z,2,rich_latent_t2_nearzero,0.3017520516155997,0.019124364354893127
sd15,guidance,2,rich_latent_t3_extreme3,-0.26748539155298445,0.03881326097834479
sd15,dz,3,rich_latent_t4_nearzero,-0.2175239179239724,0.09500923580045155
sd15,guidance,3,rich_score_t0_kurtosis,-0.2402333981661573,0.0644762086006651
sd15,cond,3,rich_score_t0_mean,0.3595998888580162,0.004773740189196778
sd15,dz,3,rich_score_t3_nearzero,0.2627671694753842,0.04252297124437673
sd15,dz,2,rich_score_t5_nearzero,-0.21120585566194708,0.10525150977688617
sd15,dz,3,speed_mean,0.36726868574604066,0.0038939613094179136
