representation,mean_paired_cosine,frac_positive,null_mean,null_sd,empirical_p,mean_vector_cosine
rgb32,0.4853162043312881,0.9833333333333333,0.00026672341120983036,0.0260670792244157,0.0,-0.04969492652896271
vae_latent_z0,0.47656191767151007,1.0,0.007939736733744077,0.013800923805376232,0.0,0.2434693899073835
fft32,0.46665476170388076,0.9,-0.006350781521529761,0.04528550667498081,0.0,-0.21480703745609636
cifar32_classB,0.3358275307548715,0.7,0.012607040813576088,0.07261082834151306,0.0,0.797133139873894
