representation,k,p_ambient,observed_projection_energy_AM_on_SD,random_subspace_mean,random_subspace_sd,empirical_p_exceeds_random
rgb32,5,3072,0.42009654325433493,0.0016213802755127994,0.00034378942565576855,0.0
vae_latent_z0,5,4096,0.18427362960255253,0.0012271612573076837,0.00014936620664967549,0.0
fft32,5,1024,0.7401167562506868,0.005017576350137388,0.0018361780925358305,0.0
cifar32_classB,5,30,0.9995263580922905,0.16192073445985605,0.08491841870345002,0.0
