representation,observed_mean_angle_deg_k5,null_mean_deg,null_sd_deg,empirical_p_more_aligned_than_null
rgb32,36.014289367105484,34.66932765636984,3.0444995814943963,0.6466666666666666
vae_latent_z0,51.13990332471343,49.10032491436323,2.6077195600253678,0.79
fft32,34.72396378312212,22.68442528237865,2.859123709347636,1.0
cifar32_classB,2.5920446941343194,2.9540632977850034,0.4963786108083207,0.24
