generator,feature,stage,paired_cohens_d,d_ci_lo,d_ci_hi,univariate_auroc_direction_free,grouped_cv_auroc,auroc_ci_lo,auroc_ci_hi,frac_pairs_fake_higher
sdxl,lpips_ae,vae,-1.1465421659529367,-1.611373508198634,-0.7899062388751935,0.8627777777777778,0.856111111111111,0.7863402777777778,0.9200208333333333,0.1
sdxl,pixel_mse_ae,vae,-0.6456808747273041,-0.8633120904594807,-0.450587093164637,0.7041666666666666,0.7002777777777779,0.6352569444444444,0.7708680555555555,0.18333333333333332
sdxl,latent_mse_ae,vae,0.34027218740540777,0.11769656362183292,0.5332887656673807,0.6037500000000001,0.5952777777777778,0.5038263888888889,0.6950416666666667,0.6
sdxl,lare_t200,score,-0.5521874700865261,-0.8064451030946408,-0.31806847976296204,0.6683333333333332,0.6644444444444445,0.5952569444444444,0.7408472222222222,0.3
sdxl,score_norm_step0,score,0.7592699650961865,0.5297524231563402,1.0315861587686328,0.7438888888888889,0.7361111111111112,0.6594444444444445,0.8141875000000001,0.7666666666666667
sdxl,diffpath_curvature,trajectory,-0.6653342541569809,-0.8888731322638298,-0.43981851557371554,0.75,0.7438888888888889,0.6616319444444444,0.820576388888889,0.25
sdxl,path_length,trajectory,-0.3575780031364763,-0.6065867992514908,-0.10466458251538834,0.5702777777777778,0.5613888888888889,0.46165972222222224,0.6558472222222221,0.4
sdxl,pixel_l1_roundtrip,roundtrip,0.08868618010426838,-0.18042693206098287,0.3185626830439302,0.5191666666666667,0.4713888888888889,0.3855555555555556,0.5608402777777778,0.5
sdxl,lpips_roundtrip,roundtrip,-0.6088010747209414,-1.0237286089214062,-0.3164233185494553,0.7544444444444445,0.7488888888888889,0.6521875,0.8372291666666667,0.25
sdxl,latent_mse_roundtrip,roundtrip,0.24435821071472666,-0.0023885517285040995,0.4742053930867659,0.5775,0.5666666666666667,0.48027083333333337,0.6575138888888888,0.5833333333333334
