feature,family,coarse_groups
rich_latent_t5_nearzero,rich_latent_typicality,latent_endpoint_stats
rich_latent_t5_extreme3,rich_latent_typicality,latent_endpoint_stats
rich_latent_t5_pr,rich_latent_typicality,latent_endpoint_stats
rich_score_norm_t0,rich_score_dynamics,trajectory_noise
rich_score_norm_t1,rich_score_dynamics,trajectory_noise
rich_score_norm_t2,rich_score_dynamics,trajectory_noise
rich_score_norm_t3,rich_score_dynamics,trajectory_noise
rich_score_norm_t4,rich_score_dynamics,trajectory_noise
rich_score_norm_t5,rich_score_dynamics,trajectory_noise
rich_score_norm_mean,rich_score_dynamics,trajectory_noise
rich_score_norm_std,rich_score_dynamics,trajectory_noise
rich_score_norm_min,rich_score_dynamics,trajectory_noise
rich_score_norm_max,rich_score_dynamics,trajectory_noise
rich_score_norm_early,rich_score_dynamics,trajectory_noise
rich_score_norm_middle,rich_score_dynamics,trajectory_noise
rich_score_norm_late,rich_score_dynamics,trajectory_noise
rich_score_norm_auc,rich_score_dynamics,trajectory_noise
rich_score_norm_slope,rich_score_dynamics,trajectory_noise
rich_score_change_t0,rich_score_dynamics,trajectory_noise
rich_score_change_t1,rich_score_dynamics,trajectory_noise
rich_score_change_t2,rich_score_dynamics,trajectory_noise
rich_score_change_t3,rich_score_dynamics,trajectory_noise
rich_score_change_t4,rich_score_dynamics,trajectory_noise
rich_score_change_mean,rich_score_dynamics,trajectory_noise
rich_score_change_std,rich_score_dynamics,trajectory_noise
rich_score_change_min,rich_score_dynamics,trajectory_noise
rich_score_change_max,rich_score_dynamics,trajectory_noise
rich_score_change_early,rich_score_dynamics,trajectory_noise
rich_score_change_middle,rich_score_dynamics,trajectory_noise
rich_score_change_late,rich_score_dynamics,trajectory_noise
rich_score_change_auc,rich_score_dynamics,trajectory_noise
rich_score_change_slope,rich_score_dynamics,trajectory_noise
rich_score_consecutive_cos_t0,rich_score_dynamics,trajectory_noise
rich_score_consecutive_cos_t1,rich_score_dynamics,trajectory_noise
rich_score_consecutive_cos_t2,rich_score_dynamics,trajectory_noise
rich_score_consecutive_cos_t3,rich_score_dynamics,trajectory_noise
rich_score_consecutive_cos_t4,rich_score_dynamics,trajectory_noise
rich_score_consecutive_cos_mean,rich_score_dynamics,trajectory_noise
rich_score_consecutive_cos_std,rich_score_dynamics,trajectory_noise
rich_score_consecutive_cos_min,rich_score_dynamics,trajectory_noise
