feature,sd15_coef,amused_coef,sd15_abs_rank,amused_abs_rank,family,sd15_sign,amused_sign,sign_agree,min_abs_rank
rich_score_t4_channel_cv,-0.0036662562758372303,-0.04463544988481852,614,101,rich_score_spatial,-1,-1,True,101
rich_score_relchange_t4,0.07151444334773273,0.027524310633117926,101,227,rich_score_dynamics,1,1,True,101
rich_score_relchange_late,0.07151444334773273,0.027524310633117926,101,227,rich_score_dynamics,1,1,True,101
rich_score_relchange_min,0.07151444334773273,0.0286580238690308,101,216,rich_score_dynamics,1,1,True,101
rich_score_t2_rms,-0.01700732521146996,0.044114012392541514,455,104,rich_score_moments,-1,1,False,104
rich_score_norm_t2,-0.01700732521146996,0.044114012392541514,455,104,rich_score_dynamics,-1,1,False,104
rich_latent_t0_q75,-0.07130809418122859,0.028778258561853766,104,214,rich_latent_typicality,-1,1,False,104
rich_latent_t1_q75,-0.07065487730145262,0.028618069114292034,105,217,rich_latent_typicality,-1,1,False,105
eps_t2,-0.017007192514469187,0.0441138734886291,457,106,legacy_noise,-1,1,False,106
rich_guidance_t0_nearzero,-0.06973101432819068,-0.0417970346087344,106,129,rich_guidance_moments,-1,-1,True,106
rich_score_t2_var,-0.009623213931428929,0.04343312701693247,554,107,rich_score_moments,-1,1,False,107
rich_score_t5_median,0.06918981447518897,-0.011608860140493015,107,470,rich_score_moments,1,-1,False,107
rich_latent_accel_auc,-0.06562223337220403,0.04342470208725404,118,108,rich_latent_geometry,-1,1,False,108
rich_guidance_t0_median,-0.06885179279648873,-0.0036654613384529177,108,604,rich_guidance_moments,-1,-1,True,108
rich_score_change_max,0.02494569591318729,0.04337993044674621,378,110,rich_score_dynamics,1,1,True,110
rich_score_change_t0,0.02494569591318729,0.04337993044674621,378,110,rich_score_dynamics,1,1,True,110
rich_latent_accel_t2,-0.06833525212116533,0.03464797149108129,110,166,rich_latent_geometry,-1,1,False,110
rich_dz_crosscos_1_5,-0.06781412927729062,0.025915235578601207,111,246,rich_crosstime,-1,1,False,111
endpoint_extreme_fraction,0.06781073259843054,0.043319385905131985,112,112,endpoint,1,1,True,112
rich_score_t2_channel_cv,0.011267545073134601,-0.04328866907500911,528,113,rich_score_spatial,1,-1,False,113
rich_guidance_t0_q75,0.06735223704582227,0.024044875612273763,113,272,rich_guidance_moments,1,1,True,113
rich_latent_t0_nearzero,0.06714222633924234,-0.03194963549104202,114,188,rich_latent_typicality,1,-1,False,114
rich_cond_uncond_cos_t4,-0.030202688622586,-0.04306163227406408,347,115,rich_alignment,-1,-1,True,115
rich_guidance_dz_align_t3,-0.03114427453850892,0.042902830457069434,341,116,rich_alignment,-1,1,False,116
rich_score_t0_fft_high_low,-0.06708279086767165,0.039825606784590184,116,137,rich_score_fft,-1,1,False,116
rich_cond_dz_align_slope,-0.06672160498753757,-0.027362013838974603,117,232,rich_alignment,-1,-1,True,117
rich_score_secondchange_auc,-0.0656173065307621,0.008347180391283437,119,526,rich_score_dynamics,-1,1,False,119
rich_score_t5_absmean,-0.007103069424815249,-0.042680344963098166,578,120,rich_score_moments,-1,-1,True,120
acceleration_abs_mean,0.06555215493818728,0.02719806984443998,120,234,legacy_geometry,1,1,True,120
rich_latent_t2_pr,-0.05816628742849109,-0.04265884669572857,161,121,rich_latent_typicality,-1,-1,True,121
rich_guidance_dz_align_auc,-0.06555162806875686,-0.016606819109740854,121,382,rich_alignment,-1,-1,True,121
rich_guidance_dz_orthfrac_early,0.01621398109306221,-0.042582778298436194,467,122,rich_alignment,1,-1,False,122
