feature,family,coef,univariate_auroc,univariate_auroc_direction_free,paired_cohens_d,frac_pairs_fake_higher,sign_stability,boot_coef_std,boot_coef_iqr,boot_ci_lo,boot_ci_hi,abs_coef,abs_coef_rank,sign
rich_guidance_t4_maxabs,rich_guidance_moments,0.30020159507327454,0.5640277777777778,0.5640277777777778,0.24824941487889046,0.5333333333333333,1.0,0.06550685563937114,0.08074422620239369,0.13414010848985394,0.4113126828036448,0.30020159507327454,1,1
rich_guidance_t1_skew,rich_guidance_moments,-0.2982585708142486,0.44916666666666666,0.5508333333333333,-0.1685044230568608,0.5333333333333333,0.9766666666666667,0.124477425045214,0.1747640393043352,-0.49347111367559593,-0.002671161826740624,0.2982585708142486,2,-1
rich_guidance_t4_skew,rich_guidance_moments,0.2980024832519394,0.5922222222222222,0.5922222222222222,0.16632175969479326,0.6333333333333333,0.9966666666666667,0.11263837275822136,0.1459407185488284,0.03861102710932402,0.4710872119544352,0.2980024832519394,3,1
rich_guidance_t0_kurtosis,rich_guidance_moments,-0.2821492998856638,0.4913888888888889,0.5086111111111111,-0.08843511143033204,0.5166666666666667,0.9566666666666667,0.1219906739464335,0.16850129574284756,-0.43196454862612743,0.04252516263689582,0.2821492998856638,4,-1
rich_guidance_t5_median,rich_guidance_moments,0.27545826852020405,0.6652777777777779,0.6652777777777779,0.36178046293639393,0.6,0.9966666666666667,0.106126242348691,0.137159455977974,0.06205572953930545,0.48870824652273337,0.27545826852020405,5,1
rich_guidance_t0_mean,rich_guidance_moments,-0.26044668825498457,0.4938888888888889,0.5061111111111112,0.021067749762037312,0.5,0.99,0.09751687816656299,0.1237174331576921,-0.41585974379234836,-0.04445243996385838,0.26044668825498457,6,-1
rich_guidance_t5_maxabs,rich_guidance_moments,0.24285086732652672,0.7859722222222223,0.7859722222222223,0.8232758926335676,0.8,1.0,0.07928580000355917,0.10650175968364148,0.07246500265783244,0.3912882191789,0.24285086732652672,7,1
rich_guidance_t0_nearzero,rich_guidance_moments,-0.2298961671032321,0.48374999999999996,0.5162500000000001,-0.02340030649216979,0.4666666666666667,1.0,0.05634531540196534,0.07731382958096444,-0.31127982621695693,-0.09473747920391454,0.2298961671032321,8,-1
rich_guidance_t1_mean,rich_guidance_moments,0.2283108392168136,0.6244444444444444,0.6244444444444444,0.3784843026245214,0.6,0.9733333333333334,0.11319466776921995,0.1438641654821155,-0.006537873479937343,0.4411624671775793,0.2283108392168136,9,1
rich_guidance_t5_mean,rich_guidance_moments,0.20872841590090396,0.6136111111111111,0.6136111111111111,0.28532585640948654,0.6166666666666667,0.9766666666666667,0.10250553468442908,0.13837311598535856,0.006738876619121797,0.39126682807520174,0.20872841590090396,10,1
