real_reference,spearman_effect_vectors,sign_agreement,perm_p_two_sided,null_sd
aigc_benchmark_real,0.7867319679430099,0.8,0.318,0.1911448985960677
rrdataset_real,0.6851419074153573,0.5333333333333333,0.538,0.19855983740418454
ALL_REAL,0.6050083509925085,0.5333333333333333,0.664,0.1945059626623707
SOURCE_SHIFT(aigc_real->rr_real),0.8422927152890552,0.9333333333333333,,
