,auroc_own_sd30,auroc_own_other30,D_transfer_sd->other,D_transfer_other->sd,B_agreement_residual_auroc(fake higher)
mean,0.528,0.558,0.487,0.55,0.572
median,0.553,0.604,0.52,0.567,0.554
min,0.176,0.204,0.08,0.26,0.358
