generator,feature,stage,paired_cohens_d,d_ci_lo,d_ci_hi,univariate_auroc_direction_free,grouped_cv_auroc,auroc_ci_lo,auroc_ci_hi,frac_pairs_fake_higher
pixart_dit,lpips_ae,vae,-1.1312100369485518,-1.5741686624132063,-0.8051496504285826,0.8233333333333334,0.8186111111111111,0.7480416666666666,0.8866736111111111,0.11666666666666667
pixart_dit,pixel_mse_ae,vae,0.04771644669700819,-0.22149310938321487,0.31212846422448876,0.5266666666666666,0.4586111111111111,0.3755555555555556,0.5461597222222222,0.5666666666666667
pixart_dit,latent_mse_ae,vae,-0.03603662681344443,-0.2770735204593338,0.26948397112870626,0.5020833333333334,0.36416666666666664,0.28749305555555554,0.44168749999999996,0.5166666666666667
pixart_dit,lare_t200,score,0.087613764862627,-0.172701820838358,0.35601943554360144,0.50625,0.46194444444444444,0.3813333333333333,0.5372222222222223,0.5333333333333333
pixart_dit,score_norm_step0,score,0.3028074667159069,0.04066432232441973,0.5978742919445894,0.5955555555555556,0.5802777777777778,0.4907986111111111,0.6697361111111111,0.6166666666666667
pixart_dit,diffpath_curvature,trajectory,-0.5254618340529076,-0.8414775657448592,-0.26923883811309113,0.6791666666666667,0.6711111111111111,0.5844236111111111,0.7519513888888889,0.2833333333333333
pixart_dit,path_length,trajectory,0.3803828168589687,0.15476968557012383,0.6736803847766231,0.6597222222222222,0.6527777777777778,0.5657916666666666,0.7403194444444443,0.6166666666666667
pixart_dit,pixel_l1_roundtrip,roundtrip,0.04130269002558625,-0.21084484544240362,0.27711236835211556,0.515,0.385,0.2863611111111111,0.4919930555555555,0.5
pixart_dit,lpips_roundtrip,roundtrip,-1.0509350143413625,-1.3906781725156732,-0.7789702426620917,0.8263888888888888,0.8197222222222221,0.7438819444444444,0.8852916666666666,0.11666666666666667
pixart_dit,latent_mse_roundtrip,roundtrip,0.007926027505718554,-0.2441708532086865,0.26101993169622983,0.5022222222222221,0.33611111111111114,0.25470833333333337,0.42306249999999995,0.5
