representation,median,mean,min
alignment,0.655,0.5838,0.352
conditional_geometry,0.6060000000000001,0.6134000000000001,0.39
cross_timestep,0.629,0.5922,0.364
frequency_score,0.579,0.5466,0.28400000000000003
latent_geometry,0.63,0.6302,0.376
latent_typicality,0.669,0.654,0.47
noise_magnitude,0.614,0.6432,0.458
roundtrip_endpoint,0.587,0.5928,0.402
score_dynamics,0.7,0.6426000000000001,0.382
spatial_score,0.6990000000000001,0.6784,0.372
