held_generator,representation,model,n_features,inner_auroc,selected_c,selected_pca,auroc,auprc,balanced_accuracy,tpr_at_1pct_fpr,tpr_at_5pct_fpr,auroc_ci95
GLIDE,rich,logistic,608,0.7488888888888889,0.1,,0.8220000000000001,0.8255867173336873,0.72,0.16,0.44,"[0.6758771929824562, 0.9392894736842105]"
GLIDE,rich,pca_logistic,608,0.7233333333333334,0.1,80.0,0.764,0.769600065757729,0.74,0.04,0.52,"[0.6069966133004927, 0.9131083378064054]"
GLIDE,rich,boosted,608,0.6386666666666666,1.0,,0.768,0.7788226662862621,0.6699999999999999,0.16,0.24,"[0.6153500000000001, 0.9116257575757576]"
GLIDE,core_rich,logistic,213,0.6846666666666668,0.01,,0.794,0.7771271385129751,0.7250000000000001,0.12,0.52,"[0.6403002032292651, 0.9200555555555555]"
GLIDE,core_rich,pca_logistic,213,0.6844444444444444,0.01,80.0,0.794,0.7771271385129751,0.7250000000000001,0.12,0.52,"[0.6403002032292651, 0.9200555555555555]"
GLIDE,core_rich,boosted,213,0.6586666666666667,1.0,,0.732,0.7560542389859464,0.6799999999999999,0.0,0.2,"[0.5816848653041463, 0.8690825621746674]"
GLIDE,combined,logistic,652,0.7484444444444445,0.1,,0.848,0.8558903377909711,0.765,0.16,0.52,"[0.7074661673091625, 0.9558852941176471]"
GLIDE,combined,pca_logistic,652,0.7164444444444444,0.1,80.0,0.784,0.79137595986395,0.74,0.08,0.44,"[0.6230115968801314, 0.9240909326693638]"
GLIDE,combined,boosted,652,0.6553333333333333,1.0,,0.8200000000000001,0.8304501698427003,0.76,0.12,0.36,"[0.6797992910979181, 0.9382771164021164]"
Midjourney,legacy,logistic,44,0.6908888888888889,100.0,,0.678,0.7314882700909268,0.62,0.04,0.12,"[0.5061337258917904, 0.8275297619047618]"
Midjourney,legacy,pca_logistic,44,0.6908888888888889,10.0,40.0,0.6799999999999999,0.7446268629389018,0.6599999999999999,0.04,0.16,"[0.515681951793063, 0.8320350508624502]"
Midjourney,legacy,boosted,44,0.6717777777777778,1.0,,0.704,0.7487749057298059,0.635,0.12,0.16,"[0.5288670977011494, 0.8419466403162054]"
Midjourney,rich,logistic,608,0.7244444444444444,0.01,,0.83,0.8722870370346758,0.775,0.04,0.16,"[0.710421888053467, 0.9351377223320158]"
Midjourney,rich,pca_logistic,608,0.7175555555555556,0.1,80.0,0.798,0.8461833838135464,0.76,0.0,0.24,"[0.6481680736511655, 0.9134249011857708]"
Midjourney,rich,boosted,608,0.6722222222222222,1.0,,0.796,0.8423052083378834,0.7250000000000001,0.04,0.28,"[0.6659577075098815, 0.9067460317460317]"
Midjourney,core_rich,logistic,213,0.6848888888888889,0.01,,0.782,0.8277229100824846,0.74,0.0,0.28,"[0.6263833992094862, 0.8967921052631579]"
Midjourney,core_rich,pca_logistic,213,0.6851111111111111,0.01,80.0,0.784,0.8289229100824844,0.74,0.0,0.28,"[0.6271383484394167, 0.8991003787878787]"
Midjourney,core_rich,boosted,213,0.6471111111111111,1.0,,0.788,0.850671363867063,0.6599999999999999,0.04,0.12,"[0.6359410138248849, 0.9091403162055336]"
Midjourney,combined,logistic,652,0.7280000000000001,0.01,,0.8360000000000001,0.8770535955272799,0.775,0.04,0.28,"[0.7153867871259175, 0.9407608695652173]"
Midjourney,combined,pca_logistic,652,0.7204444444444444,0.1,80.0,0.8,0.8551151795032368,0.73,0.0,0.24,"[0.6598893065998329, 0.9170211462450593]"
Midjourney,combined,boosted,652,0.6748888888888889,1.0,,0.8420000000000001,0.8907599909079238,0.73,0.04,0.24,"[0.7310337495322016, 0.9400177865612649]"
SD14,legacy,logistic,44,0.6622222222222223,0.01,,0.834,0.8671081562729162,0.72,0.12,0.28,"[0.7078781512605041, 0.9427541565985501]"
SD14,legacy,pca_logistic,44,0.6668888888888889,0.1,10.0,0.824,0.85794371343946,0.765,0.04,0.2,"[0.698252380952381, 0.9411970588235294]"
SD14,legacy,boosted,44,0.652,1.0,,0.852,0.8601266061777573,0.815,0.16,0.2,"[0.7260504201680673, 0.9642892433653303]"
SD14,rich,logistic,608,0.7166666666666667,0.1,,0.94,0.9567864155337841,0.845,0.04,0.64,"[0.8659903162055337, 0.9900019841269841]"
SD14,rich,pca_logistic,608,0.6822222222222222,0.1,80.0,0.934,0.9521266612182423,0.815,0.08,0.36,"[0.8512885536398467, 0.9849233012170385]"
SD14,rich,boosted,608,0.6397777777777778,1.0,,0.9240000000000002,0.921138179632574,0.835,0.12,0.28,"[0.8372690476190476, 0.9939307260245476]"
SD14,core_rich,logistic,213,0.6511111111111112,0.01,,0.912,0.9259781951401231,0.8300000000000001,0.04,0.32,"[0.8355164690382081, 0.9849233012170385]"
SD14,core_rich,pca_logistic,213,0.6537777777777778,0.01,10.0,0.834,0.887552376546505,0.73,0.0,0.2,"[0.7074312613714788, 0.9340370967741936]"
SD14,core_rich,boosted,213,0.5933333333333333,1.0,,0.9059999999999999,0.9077650751223313,0.835,0.04,0.12,"[0.8039892857142857, 0.9777438387635756]"
SD14,combined,logistic,652,0.7186666666666667,0.1,,0.93,0.9493514841192263,0.8400000000000001,0.04,0.56,"[0.8596423168886936, 0.9874014420583047]"
SD14,combined,pca_logistic,652,0.6882222222222223,0.1,80.0,0.908,0.9379293549662375,0.7949999999999999,0.08,0.48,"[0.8139689300411522, 0.9740722689075629]"
SD14,combined,boosted,652,0.6366666666666667,1.0,,0.896,0.8962940088769693,0.7949999999999999,0.08,0.28,"[0.793017925561029, 0.9784929978192721]"
SD15,legacy,logistic,44,0.6788888888888889,10.0,,0.7879999999999999,0.8043592322169173,0.7,0.08,0.36,"[0.64453051477508, 0.9040284584980237]"
SD15,legacy,pca_logistic,44,0.6784444444444445,10.0,40.0,0.7899999999999999,0.8079147877724729,0.7,0.08,0.36,"[0.6466736694677871, 0.90405]"
SD15,legacy,boosted,44,0.658,1.0,,0.82,0.8737905781901643,0.7,0.04,0.32,"[0.69995, 0.9412142524994187]"
SD15,rich,logistic,608,0.7337777777777776,0.1,,0.8140000000000001,0.8377060728814741,0.755,0.12,0.36,"[0.6840523785425101, 0.9314005270092224]"
SD15,rich,pca_logistic,608,0.7126666666666668,1.0,80.0,0.756,0.7893457430186035,0.6799999999999999,0.16,0.28,"[0.5955555555555556, 0.884774136655857]"
SD15,rich,boosted,608,0.6544444444444445,1.0,,0.8079999999999999,0.817077522350191,0.765,0.04,0.2,"[0.6657752949183303, 0.9250988142292489]"
SD15,core_rich,logistic,213,0.672222222222222,0.01,,0.8,0.8360900011705549,0.79,0.12,0.28,"[0.6598684210526315, 0.910952012383901]"
SD15,core_rich,pca_logistic,213,0.6746666666666666,0.01,40.0,0.798,0.834785653344468,0.765,0.12,0.28,"[0.657891812865497, 0.9089783281733745]"
SD15,core_rich,boosted,213,0.6235555555555555,1.0,,0.778,0.7915332689875695,0.665,0.0,0.32,"[0.6050989318652362, 0.9020784584980237]"
SD15,combined,logistic,652,0.7313333333333333,0.1,,0.8280000000000001,0.8457903939986665,0.735,0.12,0.36,"[0.6998333333333333, 0.9381836032388663]"
SD15,combined,pca_logistic,652,0.7097777777777776,0.01,80.0,0.8300000000000001,0.8373502506564734,0.685,0.08,0.36,"[0.6857707509881423, 0.9378116974189905]"
SD15,combined,boosted,652,0.6668888888888889,1.0,,0.824,0.8413716448554894,0.7350000000000001,0.0,0.24,"[0.6923424854131377, 0.9400452586206897]"
SDXL,legacy,logistic,44,0.7179999999999999,100.0,,0.53,0.6281642492803784,0.51,0.0,0.08,"[0.3661987654320987, 0.7101652661064425]"
SDXL,legacy,pca_logistic,44,0.7164444444444444,100.0,40.0,0.526,0.6263682865052235,0.51,0.0,0.08,"[0.36211419753086416, 0.7095011126980437]"
SDXL,legacy,boosted,44,0.7048888888888889,1.0,,0.536,0.6314902975580516,0.515,0.0,0.12,"[0.3338880908094463, 0.7090625851846803]"
SDXL,rich,logistic,608,0.7606666666666667,0.1,,0.642,0.7708837432648851,0.66,0.0,0.28,"[0.487663823590597, 0.7984483765662255]"
SDXL,rich,pca_logistic,608,0.7224444444444444,0.01,80.0,0.746,0.8232504664117026,0.635,0.04,0.32,"[0.6125494071146246, 0.8730904761904761]"
