generator,stage,n_features,grouped_cv_auroc,ci_lo,ci_hi
sd15,vae,3,0.6390555555555556,0.5433263888888888,0.735861111111111
sd15,score,2,0.6207499999999999,0.5285625,0.7100069444444445
sd15,trajectory,2,0.7530833333333333,0.665513888888889,0.8372708333333332
sd15,roundtrip,3,0.6957500000000001,0.5980486111111111,0.7816736111111111
amused,vae,3,0.9814166666666665,0.9591458333333334,0.9974999999999999
amused,score,2,0.8454444444444444,0.77525,0.9113958333333334
amused,trajectory,2,0.8916388888888889,0.8333055555555556,0.9463888888888888
amused,roundtrip,3,0.9546666666666666,0.9144305555555555,0.9875069444444445
