generator,mean_std_coef,sd_std_coef,frac_same_sign,n_fold_fits
sd15,-0.4460757962187623,0.060287724082959036,1.0,50
sdxl,-0.31330637796438177,0.05782153800560659,1.0,50
pixart_dit,-0.24471484478044517,0.05386438560177269,1.0,50
amused,0.05673141564448269,0.04638220412860165,0.86,50
