feature,mean_std_coef,sd_std_coef,abs_mean_std_coef
lpips_roundtrip,-0.7160109704767237,0.03428880010703034,0.7160109704767237
lpips_ae,-0.7004105454845798,0.03581133017144301,0.7004105454845798
lare_t200,0.45514031478438,0.05772412338349905,0.45514031478438
diffpath_curvature,-0.337097737835209,0.050091120401758525,0.337097737835209
pixel_mse_ae,0.27860536516696843,0.052219815790727236,0.27860536516696843
pixel_l1_roundtrip,0.2609300129255633,0.047557274961010254,0.2609300129255633
latent_mse_ae,-0.1147790197370361,0.057315876919923125,0.1147790197370361
path_length,0.061218334674697374,0.050765071316734904,0.061218334674697374
latent_mse_roundtrip,0.03255779488669295,0.050458523755485325,0.03255779488669295
score_norm_step0,-0.0010969723121189493,0.05891689860758994,0.0010969723121189493
