feature,family,paired_d,frac_fake_higher,abs_d
rich_latent_turn_cos_auc,rich_latent_geometry,0.39021220827504294,0.6166666666666667,0.39021220827504294
rich_score_consecutive_cos_early,rich_score_dynamics,0.38815613752356726,0.75,0.38815613752356726
rich_score_t0_absmean,rich_score_moments,0.3879595810518939,0.6666666666666666,0.3879595810518939
rich_dz_crosscos_1_3,rich_crosstime,0.3859392150640887,0.7,0.3859392150640887
rich_latent_t5_var,rich_latent_typicality,-0.3852046313667525,0.31666666666666665,0.3852046313667525
eps_t1,legacy_noise,-0.3844317485678034,0.31666666666666665,0.3844317485678034
rich_score_norm_t1,rich_score_dynamics,-0.38443168219995155,0.31666666666666665,0.38443168219995155
rich_score_t1_rms,rich_score_moments,-0.38443168219995155,0.31666666666666665,0.38443168219995155
rich_score_t0_q25,rich_score_moments,-0.3834606105166476,0.38333333333333336,0.3834606105166476
rich_dz_crosscos_0_3,rich_crosstime,0.38187473583569553,0.6666666666666666,0.38187473583569553
rich_latent_turn_cos_t3,rich_latent_geometry,0.3814844664817131,0.6333333333333333,0.3814844664817131
rich_dz_crosscos_3_4,rich_crosstime,0.3814844664817131,0.6333333333333333,0.3814844664817131
rich_score_t0_q95,rich_score_moments,0.3809212082712649,0.6833333333333333,0.3809212082712649
rich_score_t2_absmean,rich_score_moments,-0.37974468379127035,0.3,0.37974468379127035
rich_score_t4_q75,rich_score_moments,-0.3790108002003356,0.2833333333333333,0.3790108002003356
rich_cond_dz_align_max,rich_alignment,0.3784495314168809,0.7,0.3784495314168809
rich_cond_dz_align_t0,rich_alignment,0.3784495314168809,0.7,0.3784495314168809
rich_latent_turn_angle_t4,rich_latent_geometry,0.37768893402324655,0.65,0.37768893402324655
rich_latent_turn_angle_late,rich_latent_geometry,0.37768893402324655,0.65,0.37768893402324655
endpoint_norm_per_dim,endpoint,-0.37640423582011306,0.3333333333333333,0.37640423582011306
rich_cond_uncond_cos_middle,rich_alignment,0.3749542651973435,0.6833333333333333,0.3749542651973435
rich_score_relchange_slope,rich_score_dynamics,0.3731507080762454,0.7,0.3731507080762454
rich_score_t2_fft_centroid,rich_score_fft,-0.37302615968786534,0.3333333333333333,0.37302615968786534
rich_score_t0_q05,rich_score_moments,-0.3713584692676691,0.3,0.3713584692676691
rich_score_t5_q95,rich_score_moments,-0.3706420486178844,0.35,0.3706420486178844
endpoint_var,endpoint,-0.3699160124817962,0.31666666666666665,0.3699160124817962
rich_guidance_t5_q75,rich_guidance_moments,0.3695807216008291,0.6333333333333333,0.3695807216008291
rich_score_t5_absmean,rich_score_moments,-0.36913935256265046,0.31666666666666665,0.36913935256265046
rich_score_relchange_t0,rich_score_dynamics,-0.3652850824226962,0.3,0.3652850824226962
rich_score_t1_var,rich_score_moments,-0.3648535301728648,0.31666666666666665,0.3648535301728648
eps_late_early,legacy_noise,-0.36452018222246346,0.3333333333333333,0.36452018222246346
rich_score_relchange_max,rich_score_dynamics,-0.36379677602424854,0.3,0.36379677602424854
rich_score_relchange_early,rich_score_dynamics,-0.36368300956356653,0.3,0.36368300956356653
rich_latent_t4_var,rich_latent_typicality,-0.36355095680442395,0.31666666666666665,0.36355095680442395
rich_score_t1_q25,rich_score_moments,0.3630726329514031,0.6833333333333333,0.3630726329514031
rich_dz_crosscos_0_4,rich_crosstime,0.36209998969075075,0.7,0.36209998969075075
rich_score_t1_absmean,rich_score_moments,-0.36193948671382037,0.35,0.36193948671382037
rich_score_relchange_std,rich_score_dynamics,-0.3608225232537526,0.3,0.3608225232537526
rich_score_t0_q75,rich_score_moments,0.3600748104235914,0.65,0.3600748104235914
rich_guidance_t5_maxabs,rich_guidance_moments,0.3593876503499946,0.6666666666666666,0.3593876503499946
rich_score_crosscos_1_3,rich_crosstime,0.35894592071535547,0.6333333333333333,0.35894592071535547
rich_score_t3_fft_centroid,rich_score_fft,-0.3573382648153076,0.4,0.3573382648153076
rich_dz_crosscos_0_5,rich_crosstime,0.35584250699876835,0.6666666666666666,0.35584250699876835
rich_score_t1_q05,rich_score_moments,0.35583747311710007,0.6333333333333333,0.35583747311710007
rich_score_relchange_mean,rich_score_dynamics,-0.3551752665228551,0.3,0.3551752665228551
rich_score_t2_q95,rich_score_moments,-0.35470862244795415,0.36666666666666664,0.35470862244795415
rich_latent_step_t2,rich_latent_geometry,-0.3545554826380596,0.43333333333333335,0.3545554826380596
rich_latent_turn_cos_late,rich_latent_geometry,-0.35414130160717916,0.35,0.35414130160717916
