curve,group,step,n,mean,median,std
score_alignment,BigGAN,1,5,0.930045761067376,0.9328354113993137,0.03246913493116533
score_alignment,BigGAN,2,5,0.704691738839573,0.7000950083139238,0.09109515508125993
score_alignment,BigGAN,3,5,0.5372676545972987,0.5206723931096896,0.15758854000500194
score_alignment,BigGAN,4,5,0.36527736597598554,0.3469965227895435,0.16537785132895605
score_alignment,BigGAN,5,5,0.26346100685798124,0.2362460756395025,0.135955866104632
score_alignment,DALLE2,0,5,0.993079474712325,0.99387470497249,0.0016947435275640583
score_alignment,DALLE2,1,5,0.9127567528211019,0.9194699305702083,0.035520327594261644
score_alignment,DALLE2,2,5,0.6480187454396397,0.663970570260885,0.06815293656987044
score_alignment,DALLE2,3,5,0.4513728664621012,0.4515995439430754,0.06942535453961299
score_alignment,DALLE2,4,5,0.28556137108764384,0.28417436188088,0.04889852911442507
score_alignment,DALLE2,5,5,0.2539662459823697,0.2141794331220458,0.1063315290844292
score_alignment,GLIDE,0,5,0.9900063827987312,0.9924398030001786,0.0032217855693861433
score_alignment,GLIDE,1,5,0.8384965336223342,0.7946820334368433,0.07128585373133126
score_alignment,GLIDE,2,5,0.5121400143526313,0.4267937667668991,0.11936034099284147
score_alignment,GLIDE,3,5,0.3404770183784156,0.2470236995358909,0.13250025432956158
score_alignment,GLIDE,4,5,0.19752973387887443,0.13635654120674243,0.08950885959748613
score_alignment,GLIDE,5,5,0.12284615369187198,0.11505251389370355,0.03092781956472914
score_alignment,Midjourney,0,5,0.9905575536485971,0.9919065516953819,0.002544541154405746
score_alignment,Midjourney,1,5,0.8982471498511536,0.9033773648918473,0.035854945165236254
score_alignment,Midjourney,2,5,0.6384434389446034,0.6548591477021868,0.06750372599745544
score_alignment,Midjourney,3,5,0.4336613360110767,0.45325641061495564,0.06231043326599839
score_alignment,Midjourney,4,5,0.26096145107489566,0.2670893032364157,0.03422283246410192
score_alignment,Midjourney,5,5,0.17347932156502932,0.18451519503678565,0.03500225192041663
score_alignment,SD14,0,5,0.9943456189980212,0.9949264120348401,0.0017052524562577625
score_alignment,SD14,1,5,0.9253899314711609,0.9178794941300825,0.01622180276499073
score_alignment,SD14,2,5,0.6809396817299733,0.6632534190036689,0.044182404319468245
score_alignment,SD14,3,5,0.4742557958404051,0.47556393375566236,0.05544637997804601
score_alignment,SD14,4,5,0.312666248616588,0.2849807882179878,0.05390957587645541
score_alignment,SD14,5,5,0.26937433637346686,0.24992920433912003,0.03907194497703708
score_alignment,SDXL,0,5,0.9947646020049279,0.9952519867362888,0.0017954836825563676
score_alignment,SDXL,1,5,0.9418055024472428,0.943886554551058,0.013495750160264875
score_alignment,SDXL,2,5,0.7433682154051642,0.7587877681826843,0.040125506590692694
score_alignment,SDXL,3,5,0.5662614531062596,0.5795067351608936,0.0705821945983708
score_alignment,SDXL,4,5,0.4141164919901851,0.3926455219380772,0.07920157081146413
score_alignment,SDXL,5,5,0.35430769406616436,0.32779008491503464,0.049495091173032114
score_alignment,VQDM,0,5,0.985044225485854,0.9854250333239141,0.0039085439220434455
score_alignment,VQDM,1,5,0.8799463203490916,0.8856530304172293,0.04470302164832893
score_alignment,VQDM,2,5,0.5909384299171591,0.6172103218563983,0.09443683325088476
score_alignment,VQDM,3,5,0.3910979178804438,0.4056576291140582,0.09182343750625382
score_alignment,VQDM,4,5,0.2369600934490764,0.22661795458016698,0.07178485342658385
score_alignment,VQDM,5,5,0.1423799483020448,0.10974891593530368,0.06476437135353724
guidance_alignment,real,0,40,0.07659045934599182,0.08521501515183172,0.060643185705194357
guidance_alignment,real,1,40,0.04287986335073367,0.045636185305013455,0.058836610777775925
guidance_alignment,real,2,40,0.07097756421985041,0.0679898736710345,0.06660263799662401
guidance_alignment,real,3,40,0.029525238078376863,0.03780810470096349,0.08693622033033592
guidance_alignment,real,4,40,0.02932090411273756,0.04479074022854214,0.11133440863758509
guidance_alignment,real,5,40,-0.014759450315533168,-0.02302754033867693,0.14412299466488487
guidance_alignment,ADM,0,5,0.05948260844243849,0.03391184464127225,0.04941984193924981
guidance_alignment,ADM,1,5,0.04672413985484377,0.05247195615773735,0.05872576689248079
guidance_alignment,ADM,2,5,0.05702038650135233,0.028873337899005782,0.05045837794861269
guidance_alignment,ADM,3,5,0.06723607712080919,0.08326390189951435,0.029093562089528714
guidance_alignment,ADM,4,5,0.0851278489653448,0.11611284174763291,0.048663400754451844
guidance_alignment,ADM,5,5,0.04932246078551067,0.06608089398667714,0.0596654947266351
guidance_alignment,BigGAN,0,5,0.03537641697524972,0.027359924581830335,0.03452151053695696
guidance_alignment,BigGAN,1,5,0.03785347091616047,0.011331615187730988,0.08765128171153165
guidance_alignment,BigGAN,2,5,0.06805242915398362,0.10363528685960274,0.07943381203280217
guidance_alignment,BigGAN,3,5,0.058584476225286196,0.015939650876213157,0.09606553229896592
guidance_alignment,BigGAN,4,5,-0.026870232253313465,-0.054188411204610494,0.08563835521052526
guidance_alignment,BigGAN,5,5,0.042177456429459866,-0.006806694071286392,0.13689732493675452
guidance_alignment,DALLE2,0,5,0.09152876540479157,0.0856906367969707,0.0340812857821577
guidance_alignment,DALLE2,1,5,0.0231384508226319,0.04517837133895086,0.06188538860034655
