tensor,mean_paired_cosine,median_paired_cosine,frac_positive,null_mean_of_means,null_sd_of_means,empirical_p_two_sided,wilcoxon_stat,wilcoxon_p
z,0.49673529908343783,0.4931131420725481,1.0,0.007933439262112185,0.010471329043942497,0.0,0.0,1.629555794311934e-11
cond,0.5112398156843223,0.5143086515826544,1.0,0.008340812167176494,0.008757593050868522,0.0,0.0,1.629555794311934e-11
uncond,0.5106973680241672,0.5136875154459097,1.0,0.008135015221512,0.008910651344826019,0.0,0.0,1.629555794311934e-11
guidance,0.572176793253911,0.5854112915333775,1.0,0.009695871692317837,0.009980385622244346,0.0,0.0,1.629555794311934e-11
dz,0.4717790433717099,0.46022836375345355,1.0,0.00772354509819999,0.01282296995841121,0.0,0.0,1.629555794311934e-11
