tensor,k,observed_mean_angle_deg,null_mean_deg,null_sd_deg,empirical_p_more_aligned_than_null
z,1,43.437870570306984,49.107575877505475,5.570390144857617,0.14666666666666667
z,2,57.4832095634038,54.28976316601031,5.955082059184992,0.6633333333333333
z,3,62.29771330658202,54.332394433734976,3.224031688444409,0.9966666666666667
z,5,59.453794987370145,56.96309482329983,1.9441002247852541,0.89
z,10,61.64267160216379,60.422634360119204,0.9865980264822287,0.8866666666666667
cond,1,84.80297280999937,84.17371143033179,4.164999178553233,0.5066666666666667
cond,2,77.28273891155685,82.01507104606473,2.723245850274491,0.06
cond,3,77.3975613060138,80.29786955179911,2.1119189416194244,0.07333333333333333
cond,5,77.07903731448248,77.61424697055183,1.5355835192159002,0.37
cond,10,73.80769100276095,73.89331535103102,0.8874600624696637,0.48
uncond,1,82.35542131614835,84.52704070014207,4.055617239103058,0.25333333333333335
uncond,2,77.71933140998685,81.98817028211687,2.9929773420862937,0.09
uncond,3,77.28156288888408,80.30780854335809,2.200342586982292,0.07666666666666666
uncond,5,76.75759366489126,77.80658026311477,1.5987473790756557,0.27666666666666667
uncond,10,73.4064050983813,73.92953085628884,0.9430427976146872,0.3
guidance,1,67.71458400026597,53.66999728366424,20.94422087753719,0.7
guidance,2,59.568706564987615,59.15430656140496,8.908910266281142,0.43
guidance,3,60.955322218783095,61.68450599532498,6.352285396039335,0.4866666666666667
guidance,5,61.84344272395335,62.147405534100784,5.078365606123022,0.5033333333333333
guidance,10,57.116509647673674,59.640334880801774,3.024599848152854,0.19
dz,1,33.85901161591326,41.01834136476038,6.152286751843436,0.08333333333333333
dz,2,49.34044718740081,46.17964482408261,6.573053768230719,0.7066666666666667
dz,3,53.142500437935944,45.60379346554215,3.607044639293916,0.9633333333333334
dz,5,50.63900755652613,49.08687752090902,2.3373202325442617,0.7433333333333333
dz,10,55.44571666714319,52.728593167935365,1.1443180783292644,0.9966666666666667
